"Activity","Position","X","Y","Z","curtime","curdate"
"Classification Data","Pocket","6.9050884","-1.4078336","4.1420956","1614254941","25-02-2021 12:09:01"
"Classification Data","Pocket","5.095017","-1.9441512","4.122941","1614254941","25-02-2021 12:09:01"
"Classification Data","Pocket","6.3759537","-2.0159793","5.547535","1614254941","25-02-2021 12:09:01"
"Classification Data","Pocket","8.657698","-1.838803","5.846819","1614254941","25-02-2021 12:09:01"
"Classification Data","Pocket","8.837268","-1.2593886","3.8835137","1614254941","25-02-2021 12:09:01"
"Classification Data","Pocket","7.57788","-1.158829","2.832427","1614254941","25-02-2021 12:09:01"
"Classification Data","Pocket","6.976917","-1.7909175","5.219519","1614254941","25-02-2021 12:09:01"
"Classification Data","Pocket","8.178843","-1.7454263","6.646507","1614254941","25-02-2021 12:09:01"
"Classification Data","Pocket","8.61939","-1.6783867","5.5786605","1614254941","25-02-2021 12:09:01"
"Classification Data","Pocket","8.197997","-1.7981004","4.5012364","1614254941","25-02-2021 12:09:01"
"Classification Data","Pocket","9.134158","-1.489239","4.695173","1614254941","25-02-2021 12:09:01"
"Classification Data","Pocket","8.178843","-2.056682","3.8954852","1614254941","25-02-2021 12:09:01"
"Classification Data","Pocket","7.680834","-2.6935592","6.2969427","1614254941","25-02-2021 12:09:01"
"Classification Data","Pocket","6.7829804","-2.3631492","4.7933383","1614254941","25-02-2021 12:09:01"
"Classification Data","Pocket","7.8556156","-1.2450229","2.9210153","1614254941","25-02-2021 12:09:01"
"Classification Data","Pocket","9.557945","-1.4868447","3.9888618","1614254941","25-02-2021 12:09:01"
"Classification Data","Pocket","8.9498","-2.2147043","4.6137676","1614254941","25-02-2021 12:09:01"
"Classification Data","Pocket","7.57788","-2.6025767","2.9114382","1614254941","25-02-2021 12:09:01"
"Classification Data","Pocket","6.8069234","-3.047912","4.35758","1614254941","25-02-2021 12:09:01"
"Classification Data","Pocket","8.250671","-3.1317115","5.916253","1614254941","25-02-2021 12:09:01"
"Classification Data","Pocket","8.554744","-3.5483153","6.1269493","1614254941","25-02-2021 12:09:01"
"Classification Data","Pocket","6.517216","-3.668029","2.6767993","1614254941","25-02-2021 12:09:01"
"Classification Data","Pocket","5.9186473","-3.8284454","0.5602603","1614254942","25-02-2021 12:09:02"
"Classification Data","Pocket","8.535589","-4.12773","2.4014575","1614254942","25-02-2021 12:09:02"
"Classification Data","Pocket","10.343267","-4.7502413","9.344854","1614254942","25-02-2021 12:09:02"
"Classification Data","Pocket","7.848433","-3.572258","4.4749","1614254942","25-02-2021 12:09:02"
"Classification Data","Pocket","10.276228","-5.305713","-0.24182175","1614254942","25-02-2021 12:09:02"
"Classification Data","Pocket","6.2490573","-5.5738716","-1.5299416","1614254942","25-02-2021 12:09:02"
"Classification Data","Pocket","4.9417834","-5.576266","1.9656997","1614254942","25-02-2021 12:09:02"
"Classification Data","Pocket","8.779806","-5.9282246","3.5483153","1614254942","25-02-2021 12:09:02"
"Classification Data","Pocket","10.348056","-5.3512044","2.439766","1614254942","25-02-2021 12:09:02"
"Classification Data","Pocket","6.411868","-5.940196","-2.5211713","1614254942","25-02-2021 12:09:02"
"Classification Data","Pocket","6.4358106","-6.4789076","0.03351985","1614254942","25-02-2021 12:09:02"
"Classification Data","Pocket","6.6249585","-6.1892004","2.80609","1614254942","25-02-2021 12:09:02"
"Classification Data","Pocket","7.125362","-6.596227","0.38068968","1614254942","25-02-2021 12:09:02"
"Classification Data","Pocket","8.92825","-6.902694","-0.0670397","1614254942","25-02-2021 12:09:02"
"Classification Data","Pocket","7.350424","-7.0894475","-0.7206767","1614254942","25-02-2021 12:09:02"
"Classification Data","Pocket","5.6313343","-7.3600006","0.37350687","1614254942","25-02-2021 12:09:02"
"Classification Data","Pocket","5.995264","-7.2546525","0.7829279","1614254942","25-02-2021 12:09:02"
"Classification Data","Pocket","6.814106","-7.434223","0.30646718","1614254942","25-02-2021 12:09:02"
